datetime,level,message
"2025-07-08 12:53:14,128",INFO,Fetched 5 instruments.
"2025-07-08 12:53:35,722",INFO,Recieved RFQ 4be58e77-c252-4d20-bc7c-47d04e41f816 at price 108910.0
"2025-07-08 12:53:41,075",INFO,Fetched account balance.
"2025-07-08 12:53:41,229",INFO,Order placed: cf4bbce2-5be9-11f0-9e1c-8db41a8fed7a
"2025-07-08 12:53:42,821",INFO,"Fetched status for order Order(order_id='cf4bbce2-5be9-11f0-9e1c-8db41a8fed7a', client_order_id='<function uuid4 at 0x00000281332CE980>', quantity=0.3, base_quantity=0.3, side='buy', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price=108910.0, executed_price=108910.0, executing_unit='risk-adding-strategy', trades=[Trade(instrument='BTCUSD.SPOT', currency='BTC', trade_id='cf4be3f3-5be9-11f0-9e1c-8db41a8fed7a', origin='rest:core', rfq_id=None, created='2025-07-08T10:53:41.185998Z', price=108910.0, quantity=0.3, base_quantity=0.3, order='cf4bbce2-5be9-11f0-9e1c-8db41a8fed7a', side='buy', executing_unit='risk-adding-strategy')], created='2025-07-08T10:53:41.185998Z')"
"2025-07-08 12:53:42,935",INFO,Fetched account balance.
"2025-07-08 12:54:08,495",INFO,Fetched account balance.
"2025-07-08 12:54:08,596",INFO,Fetched 5 instruments.
"2025-07-08 12:54:32,198",INFO,Recieved RFQ 8820f1f4-3f3f-48a6-92b3-2f5ff291dce3 at price 108910.0
"2025-07-08 12:54:39,858",INFO,Fetched account balance.
"2025-07-08 12:54:40,018",INFO,Order placed: f2543da7-5be9-11f0-aedb-2d53a56693fd
"2025-07-08 12:54:42,738",INFO,"Fetched status for order Order(order_id='f2543da7-5be9-11f0-aedb-2d53a56693fd', client_order_id='<function uuid4 at 0x00000197C95A6980>', quantity=0.81, base_quantity=0.81, side='sell', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price=108910.0, executed_price=108910.0, executing_unit='risk-adding-strategy', trades=[Trade(instrument='BTCUSD.SPOT', currency='BTC', trade_id='f25464b8-5be9-11f0-aedb-2d53a56693fd', origin='rest:core', rfq_id=None, created='2025-07-08T10:54:39.961950Z', price=108910.0, quantity=0.81, base_quantity=0.81, order='f2543da7-5be9-11f0-aedb-2d53a56693fd', side='sell', executing_unit='risk-adding-strategy')], created='2025-07-08T10:54:39.961950Z')"
"2025-07-08 12:54:43,030",INFO,Fetched account balance.
"2025-07-08 12:54:58,643",INFO,Fetched account balance.
"2025-07-08 12:54:58,769",INFO,Fetched 5 instruments.
"2025-07-08 12:55:13,306",INFO,Recieved RFQ 36743454-48d4-488e-9f8b-e4ece03f7458 at price 108911.0
"2025-07-08 12:55:18,073",INFO,Fetched account balance.
"2025-07-08 12:55:18,189",INFO,Fetched 5 instruments.
"2025-07-08 12:55:26,163",INFO,Recieved RFQ ca895cb0-88e0-4f4a-8917-64a7e1574ade at price 108983.0
"2025-07-08 12:55:29,791",INFO,Fetched account balance.
"2025-07-08 12:55:29,951",INFO,Order placed: 1017b7d5-5bea-11f0-aedb-2d53a56693fd
"2025-07-08 12:55:31,459",INFO,"Fetched status for order Order(order_id='1017b7d5-5bea-11f0-aedb-2d53a56693fd', client_order_id='<function uuid4 at 0x000001E3D66E6980>', quantity=3.0, base_quantity=3.0, side='buy', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price=108983.0, executed_price=108983.0, executing_unit='risk-adding-strategy', trades=[Trade(instrument='BTCUSD.SPOT', currency='BTC', trade_id='101805f6-5bea-11f0-aedb-2d53a56693fd', origin='rest:core', rfq_id=None, created='2025-07-08T10:55:29.897531Z', price=108983.0, quantity=3.0, base_quantity=3.0, order='1017b7d5-5bea-11f0-aedb-2d53a56693fd', side='buy', executing_unit='risk-adding-strategy')], created='2025-07-08T10:55:29.897531Z')"
"2025-07-08 12:55:31,608",INFO,Fetched account balance.
"2025-07-08 12:55:51,056",INFO,Fetched account balance.
"2025-07-08 12:55:51,202",INFO,Fetched 5 instruments.
"2025-07-08 12:56:05,836",INFO,Fetched account balance.
